utc,elapsed_s,role,frame,p50,p99,p999,max,clipped_pct,r_pct,g_pct,b_pct,black_pct
2026-09-17T23:24:48Z,3737,cam0,007510.raw,36,186,255,255,0.23,0.03,0.34,0.22,0.00
2026-09-17T23:24:48Z,3737,cam1,007511.raw,45,211,255,255,0.65,0.37,0.80,0.62,0.00
2026-09-17T23:25:48Z,3798,cam0,007631.raw,35,187,255,255,0.28,0.05,0.40,0.28,0.00
2026-09-17T23:25:48Z,3798,cam1,007631.raw,42,227,255,255,0.81,0.41,0.99,0.82,0.00
2026-09-17T23:26:48Z,3858,cam0,007752.raw,36,194,255,255,0.34,0.05,0.48,0.36,0.00
2026-09-17T23:26:49Z,3858,cam1,007752.raw,46,255,255,255,1.53,0.57,1.88,1.79,0.00
2026-09-17T23:27:49Z,3919,cam0,007873.raw,36,184,255,255,0.25,0.03,0.37,0.25,0.00
2026-09-17T23:27:49Z,3919,cam1,007873.raw,44,233,255,255,0.81,0.43,0.99,0.84,0.00
2026-09-17T23:28:49Z,3979,cam0,007993.raw,35,186,255,255,0.31,0.06,0.43,0.32,0.00
2026-09-17T23:28:49Z,3979,cam1,007994.raw,42,214,255,255,0.75,0.46,0.90,0.73,0.00
2026-09-17T23:29:50Z,4039,cam0,008114.raw,34,178,255,255,0.21,0.02,0.30,0.20,0.00
2026-09-17T23:29:50Z,4039,cam1,008115.raw,42,198,255,255,0.57,0.35,0.69,0.53,0.00
2026-09-17T23:30:50Z,4100,cam0,008235.raw,35,194,255,255,0.41,0.07,0.56,0.45,0.00
2026-09-17T23:30:50Z,4100,cam1,008235.raw,43,255,255,255,1.35,0.53,1.66,1.54,0.00
2026-09-17T23:31:50Z,4160,cam0,008356.raw,35,180,255,255,0.23,0.02,0.33,0.23,0.00
2026-09-17T23:31:51Z,4160,cam1,008356.raw,43,234,255,255,0.82,0.41,1.00,0.87,0.00
2026-09-17T23:32:51Z,4221,cam0,008477.raw,35,210,255,255,0.40,0.02,0.54,0.47,0.00
2026-09-17T23:32:51Z,4221,cam1,008477.raw,44,245,255,255,0.90,0.39,1.10,1.00,0.00
2026-09-17T23:33:51Z,4281,cam0,008597.raw,34,172,255,255,0.17,0.02,0.25,0.15,0.00
2026-09-17T23:33:51Z,4281,cam1,008598.raw,41,194,255,255,0.49,0.33,0.59,0.43,0.00
2026-09-17T23:34:52Z,4341,cam0,008718.raw,34,255,255,255,1.24,0.33,1.57,1.50,0.00
2026-09-17T23:34:52Z,4341,cam1,008719.raw,45,255,255,255,2.59,0.84,3.16,3.20,0.00
2026-09-17T23:35:52Z,4402,cam0,008839.raw,34,176,255,255,0.19,0.02,0.28,0.19,0.00
2026-09-17T23:35:52Z,4402,cam1,008839.raw,43,233,255,255,0.84,0.41,1.03,0.88,0.00
2026-09-17T23:36:52Z,4462,cam0,008960.raw,34,168,255,255,0.14,0.01,0.22,0.13,0.00
2026-09-17T23:36:53Z,4462,cam1,008960.raw,41,195,255,255,0.51,0.32,0.62,0.47,0.00
2026-09-17T23:37:53Z,4523,cam0,009081.raw,34,169,255,255,0.15,0.01,0.23,0.14,0.00
2026-09-17T23:37:53Z,4523,cam1,009081.raw,41,192,255,255,0.47,0.32,0.58,0.42,0.00
2026-09-17T23:38:53Z,4583,cam0,009202.raw,33,174,255,255,0.19,0.02,0.27,0.18,0.00
2026-09-17T23:38:53Z,4583,cam1,009202.raw,40,200,255,255,0.57,0.35,0.70,0.55,0.00
2026-09-17T23:39:54Z,4644,cam0,009322.raw,34,255,255,255,1.11,0.23,1.42,1.38,0.00
2026-09-17T23:39:54Z,4644,cam1,009323.raw,44,255,255,255,1.96,0.65,2.39,2.42,0.00
2026-09-17T23:40:54Z,4704,cam0,009443.raw,34,212,255,255,0.54,0.08,0.71,0.64,0.00
2026-09-17T23:40:54Z,4704,cam1,009444.raw,45,255,255,255,1.00,0.39,1.22,1.18,0.00
2026-09-17T23:41:55Z,4764,cam0,009564.raw,33,165,255,255,0.13,0.01,0.19,0.11,0.00
2026-09-17T23:41:55Z,4764,cam1,009565.raw,41,190,255,255,0.45,0.31,0.54,0.40,0.00
2026-09-17T23:42:55Z,4825,cam0,009685.raw,33,179,255,255,0.20,0.02,0.29,0.21,0.00
2026-09-17T23:42:55Z,4825,cam1,009685.raw,42,218,255,255,0.69,0.35,0.85,0.72,0.00
2026-09-17T23:43:55Z,4885,cam0,009806.raw,31,170,255,255,0.13,0.01,0.19,0.12,0.00
2026-09-17T23:43:56Z,4885,cam1,009806.raw,39,199,255,255,0.56,0.34,0.67,0.55,0.00
2026-09-17T23:44:56Z,4946,cam0,009927.raw,32,202,255,255,0.33,0.02,0.45,0.40,0.00
2026-09-17T23:44:56Z,4946,cam1,009927.raw,41,240,255,255,0.84,0.35,1.01,0.97,0.00
2026-09-17T23:45:56Z,5006,cam0,010048.raw,32,190,255,255,0.42,0.08,0.56,0.49,0.00
2026-09-17T23:45:57Z,5006,cam1,010048.raw,41,255,255,255,1.12,0.55,1.35,1.23,0.00
2026-09-17T23:46:57Z,5067,cam0,010169.raw,31,169,255,255,0.18,0.02,0.25,0.18,0.00
2026-09-17T23:46:57Z,5067,cam1,010169.raw,43,255,255,255,1.39,0.70,1.66,1.55,0.00
2026-09-17T23:47:57Z,5127,cam0,010289.raw,31,161,255,255,0.12,0.01,0.18,0.11,0.00
2026-09-17T23:47:57Z,5127,cam1,010290.raw,39,188,255,255,0.46,0.31,0.56,0.43,0.00
2026-09-17T23:48:58Z,5187,cam0,010410.raw,31,169,255,255,0.14,0.01,0.20,0.14,0.00
2026-09-17T23:48:58Z,5187,cam1,010410.raw,39,199,255,255,0.55,0.30,0.66,0.56,0.00
2026-09-17T23:49:58Z,5248,cam0,010531.raw,30,157,254,255,0.10,0.01,0.15,0.09,0.00
2026-09-17T23:49:58Z,5248,cam1,010531.raw,38,204,255,255,0.61,0.32,0.75,0.63,0.00
2026-09-17T23:50:58Z,5308,cam0,010652.raw,30,215,255,255,0.58,0.14,0.75,0.69,0.00
2026-09-17T23:50:59Z,5308,cam1,010652.raw,40,255,255,255,1.58,0.75,1.87,1.84,0.00
2026-09-17T23:51:59Z,5369,cam0,010773.raw,31,196,255,255,0.33,0.03,0.45,0.39,0.00
2026-09-17T23:51:59Z,5369,cam1,010773.raw,41,238,255,255,0.81,0.33,0.99,0.94,0.00
